"human","bird","temp","humidity","ramadan","date"
0,0,16.6805555555556,62.025,0,2005-12-18
0,0,14.1984126984127,57.5571428571429,0,2005-12-25
0,0,14.3095238095238,57.7571428571429,0,2006-01-01
0,0,17.5952380952381,63.6714285714286,0,2006-01-08
0,0,12.5555555555556,54.6,0,2006-01-15
0,0,13.2698412698413,55.8857142857143,0,2006-01-22
0,0,14.3650793650794,57.8571428571429,0,2006-01-29
0,0,15.1904761904762,59.3428571428571,0,2006-02-05
0,0,14.5238095238095,58.1428571428571,0,2006-02-12
0,40,14.1984126984127,57.5571428571429,0,2006-02-19
0,10,18.3650793650794,65.0571428571428,0,2006-02-26
0,33,19.3253968253968,66.7857142857143,0,2006-03-05
1,60,16.7936507936508,62.2285714285714,0,2006-03-12
1.5,45.5,17.6111111111111,63.7,0,2006-03-19
0.5,88.5,20.984126984127,69.7714285714286,0,2006-03-26
3,86,18.4206349206349,65.1571428571429,0,2006-04-02
2,33.5,20.1031746031746,68.1857142857143,0,2006-04-09
0,33,21.0476190476191,69.8857142857143,0,2006-04-16
0,22,23.7936507936508,74.8285714285714,0,2006-04-23
0,22,22.9047619047619,73.2285714285714,0,2006-04-30
0.5,1.5,23.8253968253968,74.8857142857143,0,2006-05-07
0.5,3,23.3174603174603,73.9714285714286,0,2006-05-14
0,4,23.358024691358,74.0444444444445,0,2006-05-21
0,5,27.031746031746,80.6571428571429,0,2006-05-28
0,3,27.8809523809524,82.1857142857143,0,2006-06-04
0,3,27.984126984127,82.3714285714286,0,2006-06-11
0,0,26.4206349206349,79.5571428571428,0,2006-06-18
0,2,28.6269841269841,83.5285714285714,0,2006-06-25
0,0,29.7857142857143,85.6142857142857,0,2006-07-02
0,1,28.8571428571429,83.9428571428571,0,2006-07-09
0,0,29.0793650793651,84.3428571428571,0,2006-07-16
0,0,28.5952380952381,83.4714285714286,0,2006-07-23
0,0,29.1349206349206,84.4428571428571,0,2006-07-30
0,0,29.7301587301587,85.5142857142857,0,2006-08-06
0,0,29.3333333333333,84.8,0,2006-08-13
0,0,30.1349206349206,86.2428571428571,0,2006-08-20
0,0,30.9365079365079,87.6857142857143,0,2006-08-27
0,2,28.984126984127,84.1714285714286,0,2006-09-03
0,5,28.5238095238095,83.3428571428571,0,2006-09-10
0,0,28.3571428571429,83.0428571428571,0,2006-09-17
0,0,27.9761904761905,82.3571428571429,1,2006-09-24
0.5,1.5,27.8015873015873,82.0428571428571,1,2006-10-01
0,0,25.8253968253968,78.4857142857143,1,2006-10-08
0,0,26.4920634920635,79.6857142857143,1,2006-10-15
0,2,24.0555555555556,75.3,1,2006-10-22
0,0,22.8333333333333,73.1,0,2006-10-29
0,0,21.4047619047619,70.5285714285714,0,2006-11-05
0,1,18.0952380952381,64.5714285714286,0,2006-11-12
0,3,18.4285714285714,65.1714285714286,0,2006-11-19
0,3,17.8888888888889,64.2,0,2006-11-26
0,1,17.468253968254,63.4428571428571,0,2006-12-03
0,0,16.2619047619048,61.2714285714286,0,2006-12-10
1,4,16.1199294532628,61.015873015873,0,2006-12-17
0.5,2.5,14.9761904761905,58.9571428571429,0,2006-12-24
0.5,6.5,12.1984126984127,53.9571428571429,0,2006-12-31
0,15,12.9285714285714,55.2714285714286,0,2007-01-07
0,12,13.2936507936508,55.9285714285714,0,2007-01-14
0.5,9.5,14.2460317460317,57.6428571428571,0,2007-01-21
0.5,2.5,15.2936507936508,59.5285714285714,0,2007-01-28
0,14,13.7619047619048,56.7714285714286,0,2007-02-04
0,10,13.8253968253968,56.8857142857143,0,2007-02-11
1,4,16.4603174603175,61.6285714285714,0,2007-02-18
1,17,18.1904761904762,64.7428571428571,0,2007-02-25
0,13,16.7698412698413,62.1857142857143,0,2007-03-04
0.5,9.5,18.2777777777778,64.9,0,2007-03-11
0,9,16.3245149911817,61.384126984127,0,2007-03-18
1.5,2.5,19.547619047619,67.1857142857143,0,2007-03-25
1.5,3.5,19.4603174603175,67.0285714285714,0,2007-04-01
1.5,5.5,21.6269841269841,70.9285714285714,0,2007-04-08
0.5,2.5,18.7539682539683,65.7571428571429,0,2007-04-15
0,4,22.2539682539682,72.0571428571428,0,2007-04-22
0,0,22.9206349206349,73.2571428571429,0,2007-04-29
0,3,24.7222222222222,76.5,0,2007-05-06
0,2,26.0379188712522,78.868253968254,0,2007-05-13
0,2,25.5952380952381,78.0714285714286,0,2007-05-20
0,3,25.6507936507937,78.1714285714286,0,2007-05-27
0,1,26.9285714285714,80.4714285714286,0,2007-06-03
0,1,27.984126984127,82.3714285714286,0,2007-06-10
1,2,26.6825396825397,80.0285714285714,0,2007-06-17
0.5,2,29.1587301587302,84.4857142857143,0,2007-06-24
0,3,31.4126984126984,88.5428571428571,0,2007-07-01
0,2,28.8015873015873,83.8428571428571,0,2007-07-08
0,0,28.9603174603175,84.1285714285714,0,2007-07-15
1,0,29.3095238095238,84.7571428571429,0,2007-07-22
0,3,31.531746031746,88.7571428571429,0,2007-07-29
0,2,30.3571428571429,86.6428571428571,0,2007-08-05
0,1,28.8968253968254,84.0142857142857,0,2007-08-12
0,2,29.5476190476191,85.1857142857143,0,2007-08-19
0,2,30.3412698412698,86.6142857142857,0,2007-08-26
0,0,29.9365079365079,85.8857142857143,0,2007-09-02
0,0,29.0476190476191,84.2857142857143,0,2007-09-09
0,0,26.952380952381,80.5142857142857,1,2007-09-16
0,0,26.6587301587302,79.9857142857143,1,2007-09-23
0,1,25.7936507936508,78.4285714285714,1,2007-09-30
0,0,26.0238095238095,78.8428571428571,1,2007-10-07
0,0,25.5952380952381,78.0714285714286,0,2007-10-14
0,0,25.3730158730159,77.6714285714286,0,2007-10-21
0,3,25.2063492063492,77.3714285714286,0,2007-10-28
0,0,25.1031746031746,77.1857142857143,0,2007-11-04
0,0,22.6428571428571,72.7571428571429,0,2007-11-11
0,0,19.7777777777778,67.6,0,2007-11-18
0,1,17.984126984127,64.3714285714286,0,2007-11-25
0,1,18.3571428571429,65.0428571428571,0,2007-12-02
0,1,16.6666666666667,62,0,2007-12-09
0,2,15.7301587301587,60.3142857142857,0,2007-12-16
1,8,14.8924162257496,58.8063492063492,0,2007-12-23
2,10.5,15.4444444444444,59.8,0,2007-12-30
0,26,14.8492063492063,58.7285714285714,0,2008-01-06
0,19,13.452380952381,56.2142857142857,0,2008-01-13
0,9,12.0793650793651,53.7428571428571,0,2008-01-20
0,10,13.2857142857143,55.9142857142857,0,2008-01-27
0,5,12.2865961199295,54.115873015873,0,2008-02-03
0,6,15.3015873015873,59.5428571428571,0,2008-02-10
0,3,13.984126984127,57.1714285714286,0,2008-02-17
2,0,13.6904761904762,56.6428571428571,0,2008-02-24
1,0,16.2063492063492,61.1714285714286,0,2008-03-02
0.5,3.5,20.515873015873,68.9285714285714,0,2008-03-09
0,1,19.031746031746,66.2571428571429,0,2008-03-16
0,0,23.3968253968254,74.1142857142857,0,2008-03-23
1,0,22,71.6,0,2008-03-30
0.5,0.5,19.968253968254,67.9428571428571,0,2008-04-06
1,0,21.1428571428571,70.0571428571429,0,2008-04-13
0,3,24.0634920634921,75.3142857142857,0,2008-04-20
0,1,26.5396825396825,79.7714285714286,0,2008-04-27
0,0,21.603552532124,70.8863945578231,0,2008-05-04
0,1,24.1156462585034,75.4081632653061,0,2008-05-11
0,3,25.9700176366843,78.7460317460317,0,2008-05-18
0,0,26.7901234567901,80.2222222222222,0,2008-05-25
0,3,26.4197530864198,79.5555555555556,0,2008-06-01
0,0,29.7165532879819,85.4897959183673,0,2008-06-08
0,1,28.9002267573696,84.0204081632653,0,2008-06-15
0,0,29.6258503401361,85.3265306122449,0,2008-06-22
0,0,30.1133786848073,86.2040816326531,0,2008-06-29
0,0,30.1360544217687,86.2448979591837,0,2008-07-06
0,0,30.4761904761905,86.8571428571429,0,2008-07-13
0,0,30.2947845804989,86.530612244898,0,2008-07-20
0,1,30.1587301587302,86.2857142857143,0,2008-07-27
0,0,29.8979591836735,85.8163265306122,0,2008-08-03
0,0,29.9319727891156,85.8775510204082,0,2008-08-10
0,0,30.249433106576,86.4489795918367,0,2008-08-17
0,0,30.7256235827664,87.3061224489796,0,2008-08-24
0,4,31.0884353741497,87.9591836734694,0,2008-08-31
0,0,29.9546485260771,85.9183673469388,1,2008-09-07
0,1,29.421768707483,84.9591836734694,1,2008-09-14
0,0,29.0249433106576,84.2448979591837,1,2008-09-21
0,2,29.0249433106576,84.2448979591837,1,2008-09-28
0,1,27.81179138322,82.0612244897959,0,2008-10-05
0,1,26.0544217687075,78.8979591836735,0,2008-10-12
0,0,24.3197278911565,75.7755102040816,0,2008-10-19
0,0,23.5260770975057,74.3469387755102,0,2008-10-26
0,0,22.0521541950113,71.6938775510204,0,2008-11-02
0,0,22.7210884353742,72.8979591836735,0,2008-11-09
0,0,20.9183673469388,69.6530612244898,0,2008-11-16
0,0,21.281179138322,70.3061224489796,0,2008-11-23
0,1,20.2834467120181,68.5102040816327,0,2008-11-30
0,0,20.8956916099773,69.6122448979592,0,2008-12-07
1,0,18.0839002267574,64.5510204081633,0,2008-12-14
0,0,17.7664399092971,63.9795918367347,0,2008-12-21
0,1,14.8412698412698,58.7142857142857,0,2008-12-28
0,1,13.0830687830688,61.4695238095238,0,2009-01-04
1,1,14.7142857142857,58.9285714285714,0,2009-01-11
0,1,16.3253968253968,55.2571428571429,0,2009-01-18
0.5,1,16.4603174603175,54.9142857142857,0,2009-01-25
0,3,15.984126984127,49.2285714285714,0,2009-02-01
1,4.5,17.468253968254,52,0,2009-02-08
0,8,16.968253968254,49.8428571428571,0,2009-02-15
0,2,15.5634920634921,50.5285714285714,0,2009-02-22
0.5,2.5,14.7936507936508,51.5,0,2009-03-01
1,2,19.4126984126984,46.3571428571429,0,2009-03-08
0.5,3.5,16.9444444444444,52.2,0,2009-03-15
0.5,3.5,17.1269841269841,50.3571428571429,0,2009-03-22
2,2,17.0396825396825,48.3142857142857,0,2009-03-29
0.5,3,19.9603174603175,55.2,0,2009-04-05
1,1,21.0238095238095,52.7,0,2009-04-12
1,2.5,22.5555555555556,50.3428571428571,0,2009-04-19
0.5,2.5,23.3015873015873,51.8714285714286,0,2009-04-26
0,4,22.9126984126984,50.2571428571429,0,2009-05-03
3,6,22.1587301587302,52.8,0,2009-05-10
1,4,23.7619047619048,51.1285714285714,0,2009-05-17
1.5,2,25.968253968254,51.2714285714286,0,2009-05-24
1,1,25.3333333333333,53.3428571428571,0,2009-05-31
1,4,28.2222222222222,50.6,0,2009-06-07
0,2,28.1746031746032,51.2571428571429,0,2009-06-14
0.5,1.5,28.5396825396825,52.6714285714286,0,2009-06-21
0,3,29.7380952380952,50.2714285714286,0,2009-06-28
0,2,29.9365079365079,50.7,0,2009-07-05
0,4,29.9404761904762,56.7321428571429,0,2009-07-12
0,1,29.6428571428571,54.8714285714286,0,2009-07-19
1,1,30.484126984127,56.3285714285714,0,2009-07-26
0.5,0.5,30.1746031746032,52.7714285714286,0,2009-08-02
0,2,29.9365079365079,53.3428571428571,0,2009-08-09
0,0,29.2777777777778,56.8285714285714,0,2009-08-16
1,1,29.3015873015873,57.0285714285714,1,2009-08-23
0,4,28.5396825396825,53.6142857142857,1,2009-08-30
0,0,28.2539682539683,56.2571428571429,1,2009-09-06
0.5,0.5,28.5714285714286,54.1571428571429,1,2009-09-13
0,4,28.3333333333333,55.8428571428571,1,2009-09-20
0.5,1.5,27.6349206349206,54.7285714285714,0,2009-09-27
0,2,26.8015873015873,55.8142857142857,0,2009-10-04
0,1,25.7857142857143,60.0857142857143,0,2009-10-11
0,1,27.3412698412698,56.4,0,2009-10-18
0,2,25.5396825396825,55.7285714285714,0,2009-10-25
0,4,23.968253968254,55.7,0,2009-11-01
0,5,20.9365079365079,52.8285714285714,0,2009-11-08
1,0,21.2777777777778,57.6428571428571,0,2009-11-15
0.5,1.5,19.531746031746,59.7714285714286,0,2009-11-22
0,4,18.6269841269841,64.8285714285714,0,2009-11-29
0,1,17.4444444444444,57.5428571428571,0,2009-12-06
0,4,16.6887125220459,60.4761904761905,0,2009-12-13
0.5,3.5,16.9523809523809,51.5428571428571,0,2009-12-20
0,5,17.468253968254,63.2142857142857,0,2009-12-27
0,8,17.8888888888889,61.4428571428571,0,2010-01-03
2,5,17.7162698412698,63.4857142857143,0,2010-01-10
0.5,9.5,16.7460317460317,59.2285714285714,0,2010-01-17
0.5,5.5,15.657848324515,57.7063492063492,0,2010-01-24
1.5,5.5,16.3571428571429,53.4571428571429,0,2010-01-31
2,20,14.031746031746,54.7428571428571,0,2010-02-07
1,14.5,18.9444444444444,48.7285714285714,0,2010-02-14
0.5,17,23.1507936507936,53.1857142857143,0,2010-02-21
2,24,18.3730158730159,55.0428571428571,0,2010-02-28
1,14.5,20.031746031746,54.7857142857143,0,2010-03-07
0,19,24.4365079365079,56.5892857142857,0,2010-03-14
0.5,6.5,18.968253968254,53.3392857142857,0,2010-03-21
0.5,4.5,19.3353174603175,55.8928571428571,0,2010-03-28
0.5,5.5,22.1626984126984,46.7896825396825,0,2010-04-04
0,10,21.765873015873,50.9642857142857,0,2010-04-11
0,9,22.6388888888889,49.3630952380952,0,2010-04-18
0,6,23.4920634920635,49.8928571428571,0,2010-04-25
0,1,23.2083333333333,51.5714285714286,0,2010-05-02
0,6,25.2222222222222,46.2714285714286,0,2010-05-09
0,8,26.7380952380952,47.0571428571429,0,2010-05-16
0,7,25.3412698412698,49.8142857142857,0,2010-05-23
0,5,25.7539682539683,50.6857142857143,0,2010-05-30
0,4,27.9365079365079,50.2857142857143,0,2010-06-06
0,7,27.4444444444444,53.0428571428571,0,2010-06-13
0,4,30.2619047619048,50.3142857142857,0,2010-06-20
0,4,30.0952380952381,49.2,0,2010-06-27
0,6,28.5873015873016,54.0571428571429,0,2010-07-04
0,9,28.968253968254,57.2428571428571,0,2010-07-11
0,2,30.4523809523809,58.8571428571429,0,2010-07-18
0.5,1,30.2380952380952,56.7,0,2010-07-25
0,5,30.5714285714286,55.6142857142857,0,2010-08-01
0.5,3,31.531746031746,55.6714285714286,0,2010-08-08
0,2,30.484126984127,58.1285714285714,1,2010-08-15
0,3,31.8412698412698,58.2142857142857,1,2010-08-22
0.5,1,30.4444444444444,58.4571428571429,1,2010-08-29
0,2,29.3888888888889,53.6142857142857,1,2010-09-05
0,2,29.4523809523809,54.7464285714286,0,2010-09-12
0,7,27.6111111111111,57.0857142857143,0,2010-09-19
0,6,29.0674603174603,58.3821428571429,0,2010-09-26
0,4,30.4861111111111,54.8531746031746,0,2010-10-03
0,3,27.093253968254,54.4107142857143,0,2010-10-10
0,13,28.2142857142857,54.4642857142857,0,2010-10-17
0,4,27.7281746031746,56,0,2010-10-24
0,4,24.5436507936508,57.4821428571429,0,2010-10-31
0,8,23.8492063492064,58.1765873015873,0,2010-11-07
0,3,23.4623015873016,58.0535714285714,0,2010-11-14
0,2,23.2539682539683,62.6071428571429,0,2010-11-21
0,3,21.7063492063492,58.3571428571429,0,2010-11-28
0.5,1,20.734126984127,62.0853174603175,0,2010-12-05
0.5,1.5,18.0456349206349,59.8035714285714,0,2010-12-12
2,5,15.2380952380952,48.8928571428571,0,2010-12-19
3,17,17.5374779541446,64.0793650793651,0,2010-12-26
0,11,17.4305555555556,64.1765873015873,0,2011-01-02
0.5,16,15.327380952381,62.8035714285714,0,2011-01-09
0.5,13.5,15.515873015873,66.5853174603175,0,2011-01-16
1.5,12,15.2281746031746,65.9642857142857,0,2011-01-23
0,35,16.4781746031746,56.5142857142857,0,2011-01-30
0,4,17.5198412698413,60.2579365079365,0,2011-02-06
0.5,1.5,16.2386621315193,62.2015306122449,0,2011-02-13
1.5,3,17.4603174603175,53.4107142857143,0,2011-02-20
2,18,17.4404761904762,51.6071428571429,0,2011-02-27
1,9,18.5019841269841,54.1884920634921,0,2011-03-06
2.5,5,15.7142857142857,53.4464285714286,0,2011-03-13
3,14,18.9115646258503,57.1862244897959,0,2011-03-20
0.5,3.5,17.9435941043084,54.4897959183673,0,2011-03-27
0.5,4,20.5753968253968,52.2321428571429,0,2011-04-03
0.5,5.5,19.2956349206349,55.8035714285714,0,2011-04-10
0,8,22.5496031746032,43.8571428571429,0,2011-04-17
0,2,21.3789682539683,50.0714285714286,0,2011-04-24
0.5,3,22.8604497354497,49.8492063492063,0,2011-05-01
0,8,25.7848324514991,47.4444444444444,0,2011-05-08
0.5,3.5,22.3280423280423,49.3015873015873,0,2011-05-15
1.5,5.5,24.4973544973545,50.9253968253968,0,2011-05-22
0.5,6.5,27.7425044091711,47.8730158730159,0,2011-05-29
1,11,26.5255731922399,52.3174603174603,0,2011-06-05
0,8,28.8095238095238,48.1301587301587,0,2011-06-12
0,13,27.336860670194,52.2222222222222,0,2011-06-19
0,10,28.4832451499118,54.4888888888889,0,2011-06-26
0,8,27.4691358024691,51.2380952380952,0,2011-07-03
0,7,29.3386243386243,51.1,0,2011-07-10
0.5,2.5,30.2204585537919,53.2031746031746,0,2011-07-17
0,3,30.7583774250441,53.3571428571429,0,2011-07-24
0,10,31.1463844797178,55.1444444444444,0,2011-07-31
0,5,30.6701940035273,53.2857142857143,1,2011-08-07
0,1,29.7442680776014,54.5714285714286,1,2011-08-14
0,2,29.2539682539683,54.7095238095238,1,2011-08-21
0,0,29.3492063492063,53.5285714285714,1,2011-08-28
0,1,28.4126984126984,56.3,0,2011-09-04
0,1,28.5952380952381,56.5857142857143,0,2011-09-11
1,1,28.1746031746032,58.3142857142857,0,2011-09-18
0,0,27.6666666666667,54.4428571428571,0,2011-09-25
0,0,26.8253968253968,56.4714285714286,0,2011-10-02
0,0,26.5476190476191,55.3,0,2011-10-09
0,0,25.1349206349206,52.1285714285714,0,2011-10-16
0,4,24.1058201058201,54.2047619047619,0,2011-10-23
1,2,22.6807760141093,57.047619047619,0,2011-10-30
0,0,20.6181657848324,53.7587301587302,0,2011-11-06
1,0,20.2028218694885,57.3015873015873,0,2011-11-13
0,1,17.1516754850088,59.7777777777778,0,2011-11-20
2,0,16.8959435626102,62.2380952380952,0,2011-11-27
0,3,16.3888888888889,63.1111111111111,0,2011-12-04
